date	close
2016/11/22	184.00
2016/11/23	185.50
2016/11/24	183.00
2016/11/25	182.00
2016/11/28	184.00
2016/11/29	182.00
2016/11/30	183.00
2016/12/01	183.00
2016/12/02	178.00
2016/12/05	179.00
2016/12/06	182.00
2016/12/07	181.50
2016/12/08	185.50
2016/12/09	186.00
2016/12/12	185.00
2016/12/13	186.00
2016/12/14	187.50
2016/12/15	187.00
2016/12/16	185.00
2016/12/19	182.50
2016/12/20	182.50
2016/12/21	180.00
2016/12/22	179.00
2016/12/23	178.50
2016/12/26	179.50
2016/12/27	180.00
2016/12/28	182.00
2016/12/29	180.00
2016/12/30	181.50
2017/01/03	183.00
2017/01/04	183.00
2017/01/05	183.50
2017/01/06	184.00
2017/01/09	184.00
2017/01/10	184.00
2017/01/11	182.00
2017/01/12	184.50
2017/01/13	181.50
2017/01/16	179.50
2017/01/17	181.00
2017/01/18	181.00
2017/01/19	180.50
2017/01/20	181.00
2017/01/23	185.00
2017/01/24	185.50
2017/02/02	184.50
2017/02/03	184.50
2017/02/06	184.50
2017/02/07	184.50
2017/02/08	183.50
2017/02/09	184.00
2017/02/10	185.50
2017/02/13	187.50
2017/02/14	187.50
2017/02/15	189.00
2017/02/16	189.00
2017/02/17	189.50
2017/02/18	189.50
2017/02/20	190.00
2017/02/21	190.00
2017/02/22	188.50
2017/02/23	188.50
2017/02/24	189.00
2017/03/01	186.00
2017/03/02	186.00
2017/03/03	184.00
2017/03/06	183.50
2017/03/07	185.50
2017/03/08	187.00
2017/03/09	184.50
2017/03/10	183.50
2017/03/13	186.50
2017/03/14	186.00
2017/03/15	186.50
2017/03/16	190.00
2017/03/17	191.50
2017/03/20	191.50
2017/03/21	195.00
2017/03/22	193.50
2017/03/23	193.50
2017/03/24	192.50
2017/03/27	193.00
2017/03/28	194.50
2017/03/29	191.50
2017/03/30	191.50
2017/03/31	189.00
2017/04/05	193.00
2017/04/06	191.50
2017/04/07	191.00
2017/04/10	190.00
2017/04/11	191.00
2017/04/12	191.00
2017/04/13	191.50
2017/04/14	189.00
2017/04/17	187.50
2017/04/18	188.00
2017/04/19	186.50
2017/04/20	187.00
2017/04/21	190.00
2017/04/24	190.00
2017/04/25	192.00
2017/04/26	191.00
2017/04/27	193.00
2017/04/28	194.50
2017/05/02	196.50
2017/05/03	198.00
2017/05/04	198.00
2017/05/05	197.50
2017/05/08	202.50
2017/05/09	203.50
2017/05/10	205.50
2017/05/11	207.50
2017/05/12	206.00
2017/05/15	206.00
2017/05/16	204.50
2017/05/17	204.00
2017/05/18	203.50
2017/05/19	203.00
2017/05/22	205.00
2017/05/23	205.00
2017/05/24	205.50
2017/05/25	207.00
2017/05/26	207.00
2017/05/31	203.00
2017/06/01	207.00
2017/06/02	209.00
2017/06/03	209.00
2017/06/05	212.00
2017/06/06	210.50
2017/06/07	211.50
2017/06/08	213.00
2017/06/09	212.00
2017/06/12	207.50
2017/06/13	208.00
2017/06/14	207.00
2017/06/15	208.00
2017/06/16	211.50
2017/06/19	213.00
2017/06/20	216.50
2017/06/21	215.50
2017/06/22	218.00
2017/06/23	217.00
2017/06/26	215.00
2017/06/27	211.50
2017/06/28	208.50
2017/06/29	210.00
2017/06/30	208.50
